University,Country,university_normalized,id,display_name,display_name_alternatives,country_code,country
Aalborg University,Denmark,aalborg university,https://openalex.org/I891191580,Aalborg University,"[""Aalborg Universitet""]",DK,Denmark
Aalto University,Finland,aalto university,https://openalex.org/I9927081,Aalto University,"[""Aalto-Universitetet"", ""Aalto-Yliopisto""]",FI,Finland
Aarhus University,Denmark,aarhus university,https://openalex.org/I204337017,Aarhus University,"[""Aarhus Universitet""]",DK,Denmark
Åbo Akademi University,Finland,abo akademi university,https://openalex.org/I130217899,Åbo Akademi University,"[""\u00c5bo Akademi""]",FI,Finland
Academy of Scientific and Innovative Research,India,academy of scientific and innovative research,https://openalex.org/I99364266,Academy of Scientific and Innovative Research,[],IN,India
Adam Mickiewicz University in Poznań,Poland,adam mickiewicz university in poznan,https://openalex.org/I59411706,Adam Mickiewicz University in Poznań,[],PL,Poland
Addis Ababa University,Ethiopia,addis ababa university,https://openalex.org/I4537092,Addis Ababa University,"[""University College of Addis Ababa"", ""Haile Selassie I University ""]",ET,Ethiopia
AGH University of Science and Technology,Poland,agh university of science and technology,https://openalex.org/I686019,AGH University of Science and Technology,"[""University of Mining and Metallurgy"", ""Akademia G\u00f3rniczo-Hutnicza im. Stanis\u0142awa Staszica""]",PL,Poland
Ain Shams University,Egypt,ain shams university,https://openalex.org/I107720978,Ain Shams University,[],EG,Egypt
Air Force Medical University,China,air force medical university,https://openalex.org/I9916479,Air Force Medical University,"[""Fourth Military Medical University"", ""People's Medical College of Northwestern Military Region"", ""First Military Medical College of PLA""]",CN,China
Aix-Marseille University,France,aix-marseille university,https://openalex.org/I21491767,Aix-Marseille University,"[""University of Provence"", ""University of the Mediterranean"", ""Paul C\u00e9zanne University"", ""Universit\u00e9 d'Aix-Marseille""]",FR,France
Ajou University,South Korea,ajou university,https://openalex.org/I57664883,Ajou University,[],KR,South Korea
Akdeniz University,Turkey,akdeniz university,https://openalex.org/I197907453,Akdeniz University,"[""Akdeniz \u00dcniversitesi""]",TR,Turkey
Alexandria University,Egypt,alexandria university,https://openalex.org/I84524832,Alexandria University,[],EG,Egypt
Aligarh Muslim University,India,aligarh muslim university,https://openalex.org/I171210897,Aligarh Muslim University,[],IN,India
American University of Beirut,Lebanon,american university of beirut,https://openalex.org/I98635879,American University of Beirut,[],LB,Lebanon
Amirkabir University of Technology,Iran,amirkabir university of technology,https://openalex.org/I158248296,Amirkabir University of Technology,"[""Tehran Polytechnic""]",IR,Iran
Anadolu University,Turkey,anadolu university,https://openalex.org/I133743585,Anadolu University,"[""Anadolu \u00dcniversitesi""]",TR,Turkey
Anhui Agricultural University,China,anhui agricultural university,https://openalex.org/I140221134,Anhui Agricultural University,[],CN,China
Anhui Medical University,China,anhui medical university,https://openalex.org/I197869895,Anhui Medical University,"[""\u0100nhu\u012b Y\u012bk\u0113 D\u00e0xu\u00e9""]",CN,China
Anhui Normal University,China,anhui normal university,https://openalex.org/I4472751,Anhui Normal University,[],CN,China
Anhui University,China,anhui university,https://openalex.org/I143868143,Anhui University,"[""\u0101nhu\u012b d\u00e0xu\u00e9""]",CN,China
Anhui University of Science and Technology,China,anhui university of science and technology,https://openalex.org/I184681353,Anhui University of Science and Technology,"[""\u0100nhu\u012b L\u01d0g\u014dng D\u00e0xu\u00e9""]",CN,China
