University,Country,university_normalized,id,display_name,display_name_alternatives,country_code,country,keep,comment
Al-Azhar University,Egypt,al-azhar university,https://openalex.org/I184834183,Al Azhar University,[],EG,Egypot,TRUE,
All India Institute of Medical Science,India,all india institute of medical science,https://openalex.org/I63739035,All India Institute of Medical Sciences,All India Institute of Medical Sciences,IN,India,TRUE,"choosing the Delhi one, after consulting CWTS website"
Anna University,India,anna university,https://openalex.org/I33585257,"Anna University, Chennai",NA,IN,India,TRUE,
Autonomous University of Nuevo Leon,Mexico,autonomous university of nuevo leon,https://openalex.org/I169046204,Universidad Autónoma de Nuevo León,NA,MX,Mexico,TRUE,
"Binghamton University, State University of New York",United States,binghamton university state university of new york,https://openalex.org/I123946342,Binghamton University,NA,US,United States,TRUE,
Brescia University,Italy,brescia university,https://openalex.org/I79940851,University of Brescia,[],IT,Italy,TRUE,
Brno University of Technology,Czech Republic,brno university of technology,https://openalex.org/I60587646,Brno University of Technology,"[""Vysok\u00e9 U\u010den\u00ed Technick\u00e9 v Brn\u011b""]",CZ,Czechia,TRUE,
Bursa Uludağ University,Turkey,bursa uludag university,https://openalex.org/I131835042,Uludağ University,NA,TR,Turkey,TRUE,
Charles University,Czech Republic,charles university,https://openalex.org/I21250087,Charles University,"[""Univerzita Karlova v Praze"", ""Karls-Universit\u00e4t Prag"", ""Charles University in Prague""]",CZ,Czechia,TRUE,
China Medical University,China,china medical university,https://openalex.org/I184693016,China Medical University,"[""China Medical College""]",TW,Taiwan,FALSE,
"China Medical University, Taiwan",Taiwan,china medical university taiwan,https://openalex.org/I184693016,China Medical University,NA,TW,Taiwan,TRUE,
China University of Geosciences,China,china university of geosciences,https://openalex.org/I3125743391,China University of Geosciences,"[""Zh\u014dnggu\u00f3 D\u00eczh\u00ec D\u00e0xu\u00e9""]",CN,China,FALSE,This is the one university we already identified as not being the correct one
"City, University London",United Kingdom,city university london,https://openalex.org/I180825142,"City, University of London",NA,GB,United Kingdom,TRUE,
Claude Bernard Lyon 1 University,France,claude bernard lyon 1 university,https://openalex.org/I100532134,Claude Bernard University Lyon 1,NA,FR,France,TRUE,
College of William and Mary,United States,college of william and mary,https://openalex.org/I16285277,William & Mary,NA,US,United States,TRUE,
Comenius University in Bratislava,Slovakia,comenius university in bratislava,https://openalex.org/I74788687,Comenius University,NA,SK,Slovakia,TRUE,
COMSATS Institute of Information Technology,Pakistan,comsats institute of information technology,https://openalex.org/I16076960,COMSATS University Islamabad,NA,PK,Pakistan,TRUE,
Concordia University,Canada,concordia university,https://openalex.org/I4210148195,Concordia University,[],US,United States,FALSE,
Concordia University,Canada,concordia university,https://openalex.org/I4210143216,Concordia University,"[""Concordia Teachers College"", ""Concordia College"", ""Concordia University, Seward""]",US,United States,FALSE,
Concordia University,Canada,concordia university,https://openalex.org/I161856759,Concordia University,[],US,United States,FALSE,
