University,Country,university_normalized,id,display_name,display_name_alternatives,country_code,country
Al-Azhar University,Egypt,al-azhar university,https://openalex.org/I4210125886,Al-Azhar University,[],ID,Indonesia
All India Institute of Medical Science,India,all india institute of medical science,NA,NA,NA,NA,NA
Anna University,India,anna university,NA,NA,NA,NA,NA
Autonomous University of Nuevo Leon,Mexico,autonomous university of nuevo leon,NA,NA,NA,NA,NA
"Binghamton University, State University of New York",United States,binghamton university state university of new york,NA,NA,NA,NA,NA
Brescia University,Italy,brescia university,https://openalex.org/I30667456,Brescia University,[],US,United States
Brno University of Technology,Czech Republic,brno university of technology,https://openalex.org/I60587646,Brno University of Technology,"[""Vysok\u00e9 U\u010den\u00ed Technick\u00e9 v Brn\u011b""]",CZ,Czechia
Bursa Uludağ University,Turkey,bursa uludag university,NA,NA,NA,NA,NA
Charles University,Czech Republic,charles university,https://openalex.org/I21250087,Charles University,"[""Univerzita Karlova v Praze"", ""Karls-Universit\u00e4t Prag"", ""Charles University in Prague""]",CZ,Czechia
China Medical University,China,china medical university,https://openalex.org/I184693016,China Medical University,"[""China Medical College""]",TW,Taiwan
"China Medical University, Taiwan",Taiwan,china medical university taiwan,NA,NA,NA,NA,NA
China University of Geosciences,China,china university of geosciences,https://openalex.org/I3125743391,China University of Geosciences,"[""Zh\u014dnggu\u00f3 D\u00eczh\u00ec D\u00e0xu\u00e9""]",CN,China
"City, University London",United Kingdom,city university london,NA,NA,NA,NA,NA
Claude Bernard Lyon 1 University,France,claude bernard lyon 1 university,NA,NA,NA,NA,NA
College of William and Mary,United States,college of william and mary,NA,NA,NA,NA,NA
Comenius University in Bratislava,Slovakia,comenius university in bratislava,NA,NA,NA,NA,NA
COMSATS Institute of Information Technology,Pakistan,comsats institute of information technology,NA,NA,NA,NA,NA
Concordia University,Canada,concordia university,https://openalex.org/I4210148195,Concordia University,[],US,United States
Concordia University,Canada,concordia university,https://openalex.org/I4210143216,Concordia University,"[""Concordia Teachers College"", ""Concordia College"", ""Concordia University, Seward""]",US,United States
Concordia University,Canada,concordia university,https://openalex.org/I161856759,Concordia University,[],US,United States
Czech Technical University in Prague,Czech Republic,czech technical university in prague,https://openalex.org/I44504214,Czech Technical University in Prague,"[""\u010cesk\u00e9 vysok\u00e9 u\u010den\u00ed technick\u00e9 v Praze""]",CZ,Czechia
Czech University of Life Sciences Prague,Czech Republic,czech university of life sciences prague,https://openalex.org/I205984670,Czech University of Life Sciences Prague,"[""\u010cesk\u00e1 zem\u011bd\u011blsk\u00e1 univerzita v Praze"", ""Czech University of Agriculture in Prague""]",CZ,Czechia
Eberhard Karls University of Tübingen,Germany,eberhard karls university of tubingen,NA,NA,NA,NA,NA
Eidgenössische Technische Hochschule Zürich,Switzerland,eidgenossische technische hochschule zurich,NA,NA,NA,NA,NA
Federal University of Mato Grosso,Brazil,federal university of mato grosso,NA,NA,NA,NA,NA
Federal University of Pelotas,Brazil,federal university of pelotas,NA,NA,NA,NA,NA
Federal University of Santa Maria,Brazil,federal university of santa maria,NA,NA,NA,NA,NA
Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,friedrich-alexander-universitat erlangen-nurnberg,NA,NA,NA,NA,NA
Gabriele D'Annunzio University,Italy,gabriele d'annunzio university,NA,NA,NA,NA,NA
Georg-August-Universität Göttingen,Germany,georg-august-universitat gottingen,NA,NA,NA,NA,NA
Gottfried Wilhelm Leibniz Universität Hannover,Germany,gottfried wilhelm leibniz universitat hannover,NA,NA,NA,NA,NA
Gustave Eiffel University,France,gustave eiffel university,NA,NA,NA,NA,NA
Heidelberg University,Germany,heidelberg university,https://openalex.org/I85384741,Heidelberg University,"[""Heidelberg College""]",US,United States
Heriot-Watt University,United Kingdom,heriot-watt university,https://openalex.org/I4210085930,Heriot-Watt University,[],MY,Malaysia
HSE University,Russia,hse university,NA,NA,NA,NA,NA
"Icahn School of Medicine, Mount Sinai",United States,icahn school of medicine mount sinai,NA,NA,NA,NA,NA
Indian Institute of Science,India,indian institute of science,NA,NA,NA,NA,NA
Indian Institute of Technology (Indian School of Mines),India,indian institute of technology (indian school of mines),NA,NA,NA,NA,NA
Institut National Polytechnique de Toulouse,France,institut national polytechnique de toulouse,NA,NA,NA,NA,NA
Islamic Azad University Science & Research Tehran,Iran,islamic azad university science and research tehran,NA,NA,NA,NA,NA
JiLin Agriculture University,China,jilin agriculture university,NA,NA,NA,NA,NA
Jinan University,China,jinan university,https://openalex.org/I4210146271,Jinan University,[],LB,Lebanon
Johannes Gutenberg University Mainz,Germany,johannes gutenberg university mainz,NA,NA,NA,NA,NA
Johannes Kepler University Linz,Austria,johannes kepler university linz,NA,NA,NA,NA,NA
Julius-Maximilians-Universität Würzburg,Germany,julius-maximilians-universitat wurzburg,NA,NA,NA,NA,NA
Justus Liebig University Giessen,Germany,justus liebig university giessen,NA,NA,NA,NA,NA
K.N. Toosi University of Technology,Iran,k.n. toosi university of technology,NA,NA,NA,NA,NA
Karolinska Institutet,Sweden,karolinska institutet,NA,NA,NA,NA,NA
Katholieke Universiteit Leuven,Belgium,katholieke universiteit leuven,NA,NA,NA,NA,NA
Kazan (Volga region) Federal University,Russia,kazan (volga region) federal university,NA,NA,NA,NA,NA
