id,issn_l,issn,pissn,eissn,display_name,journal_title,publisher.x,publisher.y
https://openalex.org/V4210225851,2685-9394,"[""2685-9394""]",2685-9394,2621-2978,Jurnal Ilmu Keperawatan Jiwa,Jurnal Ilmu Keperawatan Jiwa,Persatuan Perawat Nasional Indonesia Jawa Tengah,Persatuan Perawat Nasional Indonesia Jawa Tengah.
https://openalex.org/V4210171571,2617-8907,"[""2663-2160"", ""2617-8907""]",2617-8907,2663-2160,Naukovì zapiski NAUKMA,Наукові записки Наукма: Історія і теорія культури,National University of Kyiv - Mohyla Academy,National University of Kyiv-Mohyla Academy
https://openalex.org/V4210180685,1853-0710,"[""1853-0710""]",1853-0710,2314-2502,Boletín de arte,Boletín de Arte,Universidad Nacional de La Plata,Papel Cosido
https://openalex.org/V4210235111,0125-9687,"[""0125-9687""]",0125-9687,2503-1465,Hukum dan Pembangunan,Jurnal Hukum & Pembangunan,Jurnal Hukum dan Pembangunan,Badan Penerbit FHUI
https://openalex.org/V2736376021,2420-9767,null,NA,2420-9767,Francigena,Francigena,NA,Padova University Press
https://openalex.org/V2736804703,1556-1542,null,1556-1542,1556-1550,Grounded Theory Review: An International Journal,Grounded Theory Review: An International Journal,NA,Sociology Press
https://openalex.org/V2737485440,2446-5259,null,2446-550X,2446-5259,Revista de Direito Setorial e Regulatório,Revista de Direito Setorial e Regulatório,NA,Universidade de Brasília
https://openalex.org/V2737581523,1998-6963,null,1998-6963,NA,Uridičeskaâ Nauka i Pravoohranitelʹnaâ Praktika,Uridičeskaâ Nauka i Pravoohranitelʹnaâ Praktika,NA,Tyumen Advanced Training Institute of the Ministry of the Interior of the Russian Federation
https://openalex.org/V2737873276,1676-2827,null,NA,2179-9571,Mediação,Mediação,NA,Universidade da FUMEC
https://openalex.org/V2738758758,1593-2214,null,NA,1593-2214,Reti Medievali Rivista,Reti Medievali Rivista,NA,Università di Napoli Federico II
https://openalex.org/V2738833819,2067-6557,null,2067-6557,2247-2371,Journal of Humanistic and Social Studies,Journal of Humanistic and Social Studies,NA,Editura Universităţii Aurel Vlaicu Arad
https://openalex.org/V2738980835,1886-2632,null,1886-2632,NA,Revista d'Estudis Autonòmics i Federals,Revista d'Estudis Autonòmics i Federals,NA,Institut d'Estudis de l'Autogovern
https://openalex.org/V2739396289,2008-8264,null,2008-8264,2322-2204,Zīst/shināsī-i Giyāhī-i Īrān,Zīst/shināsī-i Giyāhī-i Īrān,NA,University of Isfahan
